Fiscal Year,Fiscal Month,Commuter Revenue,Commuter YoY (%),Non-Commuter Revenue,Non-Commuter YoY (%),Total Revenue,Total YoY (%),Calendar_Month,Line_ID,Line_Name_En,Line_Name_Jp
2023,1,9204,2.6,13531,16.9,22736,10.6,April,A,Asakusa Line,浅草線
2023,2,9599,6.3,13585,40.5,23185,24.0,May,A,Asakusa Line,浅草線
2023,3,9617,5.7,13927,23.7,23545,15.7,June,A,Asakusa Line,浅草線
2023,4,9356,6.4,13472,13.7,22829,10.6,July,A,Asakusa Line,浅草線
2023,5,9173,6.4,12793,25.5,21966,16.7,August,A,Asakusa Line,浅草線
2023,6,9448,8.9,13333,26.4,22782,18.5,September,A,Asakusa Line,浅草線
2023,7,9597,7.6,14426,14.9,24024,11.9,October,A,Asakusa Line,浅草線
2023,8,9513,5.1,14347,9.4,23861,7.6,November,A,Asakusa Line,浅草線
2023,9,8766,4.7,15441,7.6,24208,6.5,December,A,Asakusa Line,浅草線
2023,10,9412,5.6,14008,22.5,23421,15.1,January,A,Asakusa Line,浅草線
2023,11,9005,7.3,13906,39.2,22912,24.6,February,A,Asakusa Line,浅草線
2023,12,9292,7.6,16598,27.0,25891,19.3,March,A,Asakusa Line,浅草線
2021,1,8851,-28.4,4701,-72.7,13552,-54.2,April,A,Asakusa Line,浅草線
2021,2,8787,-34.4,4982,-70.2,13769,-54.3,May,A,Asakusa Line,浅草線
2021,3,9718,-27.2,9391,-42.5,19110,-35.6,June,A,Asakusa Line,浅草線
2021,4,9399,-28.8,10204,-40.1,19604,-35.2,July,A,Asakusa Line,浅草線
2021,5,9397,-27.3,9937,-39.8,19334,-34.3,August,A,Asakusa Line,浅草線
2021,6,9077,-38.5,11032,-31.5,20109,-34.9,September,A,Asakusa Line,浅草線
2021,7,9271,-29.1,12306,-22.0,21578,-25.2,October,A,Asakusa Line,浅草線
2021,8,9337,-28.9,11786,-29.2,21124,-29.0,November,A,Asakusa Line,浅草線
2021,9,8235,-30.0,11989,-30.8,20225,-30.5,December,A,Asakusa Line,浅草線
2021,10,8637,-34.2,8832,-44.2,17470,-39.7,January,A,Asakusa Line,浅草線
2021,11,8242,-35.0,9283,-35.3,17526,-35.2,February,A,Asakusa Line,浅草線
2021,12,8630,-24.1,11893,3.4,20523,-10.3,March,A,Asakusa Line,浅草線
2022,1,8974,1.4,11576,146.2,20550,51.6,April,A,Asakusa Line,浅草線
2022,2,9027,2.7,9671,94.1,18698,35.8,May,A,Asakusa Line,浅草線
2022,3,9096,-6.4,11255,19.8,20351,6.5,June,A,Asakusa Line,浅草線
2022,4,8794,-6.4,11845,16.1,20640,5.3,July,A,Asakusa Line,浅草線
2022,5,8623,-8.2,10194,2.6,18818,-2.7,August,A,Asakusa Line,浅草線
2022,6,8674,-4.4,10546,-4.4,19221,-4.4,September,A,Asakusa Line,浅草線
2022,7,8921,-3.8,12554,2.0,21475,-0.5,October,A,Asakusa Line,浅草線
2022,8,9055,-3.0,13120,11.3,22175,5.0,November,A,Asakusa Line,浅草線
2022,9,8371,1.6,14350,19.7,22721,12.3,December,A,Asakusa Line,浅草線
2022,10,8911,3.2,11431,29.4,20343,16.4,January,A,Asakusa Line,浅草線
2022,11,8393,1.8,9991,7.6,18385,4.9,February,A,Asakusa Line,浅草線
2022,12,8638,0.1,13071,9.9,21710,5.8,March,A,Asakusa Line,浅草線
2024,1,10176,10.6,16428,21.4,26604,17.0,April,A,Asakusa Line,浅草線
2024,2,10592,10.3,16323,20.2,26915,16.1,May,A,Asakusa Line,浅草線
2024,3,10615,10.4,16243,16.6,26858,14.1,June,A,Asakusa Line,浅草線
2024,4,10466,11.9,16708,24.0,27175,19.0,July,A,Asakusa Line,浅草線
2024,5,10278,12.0,16246,27.0,26524,20.8,August,A,Asakusa Line,浅草線
2024,6,10520,11.4,16046,20.3,26567,16.6,September,A,Asakusa Line,浅草線
2024,7,10734,11.8,16799,16.4,27533,14.6,October,A,Asakusa Line,浅草線
2024,8,10632,11.8,16736,16.6,27368,14.7,November,A,Asakusa Line,浅草線
2024,9,9782,11.6,17901,15.9,27684,14.4,December,A,Asakusa Line,浅草線
2024,10,10506,11.6,15921,13.7,26427,12.8,January,A,Asakusa Line,浅草線
2024,11,10118,12.4,16012,15.1,26131,14.0,February,A,Asakusa Line,浅草線
2024,12,10158,9.3,18059,8.8,28218,9.0,March,A,Asakusa Line,浅草線
